2026-09-08T17:34:21.115016394Z [NOTICE]   (1) : New worker (8) forked
2026-09-08T17:34:21.115087900Z [NOTICE]   (1) : Loading success.
2026-09-08T17:34:21.263211659Z [WARNING]  (8) : Server primary_route/base is DOWN, reason: Layer7 wrong status, code: 503, info: "Service Unavailable", check duration: 4ms. 1 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
2026-09-08T17:35:06.915304451Z [WARNING]  (8) : Server replicas/elastic1 is UP/READY (leaving forced maintenance).
2026-09-08T17:35:39.556530015Z [WARNING]  (8) : Server replicas/elastic2 is UP/READY (leaving forced maintenance).
2026-09-08T17:36:16.935331250Z [WARNING]  (8) : Server replicas/elastic3 is UP/READY (leaving forced maintenance).
2026-09-08T17:36:56.433221046Z [WARNING]  (8) : Server replicas/elastic4 is UP/READY (leaving forced maintenance).
2026-09-08T17:38:33.490181975Z [WARNING]  (8) : Server replicas/elastic4 enters drain state. 4 active and 0 backup servers online. 0 sessions requeued, 0 total in queue.
2026-09-08T17:38:33.982193788Z [WARNING]  (8) : Server replicas/elastic4 is going DOWN for maintenance. 4 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
2026-09-08T17:39:05.463478987Z [WARNING]  (8) : Server replicas/elastic3 enters drain state. 3 active and 0 backup servers online. 0 sessions requeued, 0 total in queue.
2026-09-08T17:39:05.936107900Z [WARNING]  (8) : Server replicas/elastic3 is going DOWN for maintenance. 3 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
2026-09-08T17:39:38.030339916Z [WARNING]  (8) : Server replicas/elastic2 enters drain state. 2 active and 0 backup servers online. 0 sessions requeued, 0 total in queue.
2026-09-08T17:39:38.484439169Z [WARNING]  (8) : Server replicas/elastic2 is going DOWN for maintenance. 2 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
2026-09-08T17:40:06.191489959Z [WARNING]  (8) : Server replicas/elastic1 enters drain state. 1 active and 0 backup servers online. 0 sessions requeued, 0 total in queue.
2026-09-08T17:40:06.616245899Z [WARNING]  (8) : Server replicas/elastic1 is going DOWN for maintenance. 1 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
