2026-09-08T23:17:51.886707599Z [NOTICE]   (1) : New worker (8) forked
2026-09-08T23:17:51.886783814Z [NOTICE]   (1) : Loading success.
2026-09-08T23:17:52.069109896Z [WARNING]  (8) : Server primary_route/base is DOWN, reason: Layer7 wrong status, code: 503, info: "Service Unavailable", check duration: 37ms. 1 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
2026-09-08T23:20:02.274398251Z [WARNING]  (8) : Server replicas/elastic1 is UP/READY (leaving forced maintenance).
2026-09-08T23:21:54.366307159Z [WARNING]  (8) : Server replicas/elastic2 is UP/READY (leaving forced maintenance).
2026-09-08T23:22:56.915416986Z [WARNING]  (8) : Server replicas/elastic3 is UP/READY (leaving forced maintenance).
2026-09-08T23:26:42.344730682Z [WARNING]  (8) : Server replicas/elastic4 is UP/READY (leaving forced maintenance).
2026-09-08T23:29:10.761840090Z [WARNING]  (8) : Server replicas/elastic4 enters drain state. 4 active and 0 backup servers online. 0 sessions requeued, 0 total in queue.
2026-09-08T23:29:11.437836678Z [WARNING]  (8) : Server replicas/elastic4 is going DOWN for maintenance. 4 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
2026-09-08T23:30:49.568899214Z [WARNING]  (8) : Server replicas/elastic3 enters drain state. 3 active and 0 backup servers online. 0 sessions requeued, 0 total in queue.
2026-09-08T23:30:50.171912778Z [WARNING]  (8) : Server replicas/elastic3 is going DOWN for maintenance. 3 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
2026-09-08T23:32:28.509291495Z [WARNING]  (8) : Server replicas/elastic2 enters drain state. 2 active and 0 backup servers online. 0 sessions requeued, 0 total in queue.
2026-09-08T23:32:29.724333865Z [WARNING]  (8) : Server replicas/elastic2 is going DOWN for maintenance. 2 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
2026-09-08T23:33:55.254692443Z [WARNING]  (8) : Server replicas/elastic1 enters drain state. 1 active and 0 backup servers online. 0 sessions requeued, 0 total in queue.
2026-09-08T23:33:55.707010183Z [WARNING]  (8) : Server replicas/elastic1 is going DOWN for maintenance. 1 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
